history_length,mean_accuracy,std_accuracy,mean_switches
1,0.8275399307067566,0.04004597049144897,32.3
3,0.8388077697607109,0.040328361399985115,24.3
5,0.8390036913547808,0.03418249367056386,19.3
7,0.8364567045495719,0.037424978165200344,17.2
10,0.8144489280967123,0.02531640487453082,14.1
