window_samples,window_ms,mean_accuracy,std_accuracy
10,100.0,0.8677798170693525,0.11684996684395972
15,150.0,0.8725422754024276,0.12173981103825593
20,200.0,0.8844043967537114,0.11348504594232058
25,250.0,0.8843383933699466,0.11155554452786351
30,300.0,0.8897766795050355,0.10901218319205337
